,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-08-28 06:38:59,1661643480000,20059.27000000,20067.77000000,20057.25000000,20058.92000000,56.42142000,1661643539999,1131980.46619530,1940,25.78629000,517355.78859020,0
2022-08-28 06:39:59,1661643540000,20058.92000000,20074.73000000,20057.28000000,20068.14000000,64.22849000,1661643599999,1288931.51850800,2393,37.98796000,762373.44220310,0
2022-08-28 06:40:59,1661643600000,20067.63000000,20074.39000000,20059.20000000,20071.06000000,71.38735000,1661643659999,1432584.61342100,2552,41.66827000,836209.33394890,0
2022-08-28 06:41:59,1661643660000,20071.06000000,20085.28000000,20071.05000000,20078.73000000,79.91327000,1661643719999,1604601.72543250,2972,35.87778000,720407.73673830,0
2022-08-28 06:42:59,1661643720000,20078.73000000,20083.97000000,20065.01000000,20069.02000000,92.98610000,1661643779999,1866542.96951490,3203,50.60212000,1015759.05149530,0
2022-08-28 06:43:59,1661643780000,20069.59000000,20071.08000000,20065.00000000,20067.29000000,28.67064000,1661643839999,575358.12942770,1528,15.02921000,301611.61012300,0
2022-08-28 06:44:59,1661643840000,20066.58000000,20068.07000000,20051.25000000,20058.42000000,66.00601000,1661643899999,1324060.45120600,2308,30.08761000,603555.21729010,0
2022-08-28 06:45:59,1661643900000,20058.40000000,20061.16000000,20049.01000000,20050.50000000,64.31651000,1661643959999,1289865.46194340,2459,34.20668000,686026.06288090,0
2022-08-28 06:46:59,1661643960000,20052.90000000,20067.16000000,20043.10000000,20049.46000000,215.81769000,1661644019999,4327426.32576770,3403,158.57840000,3179709.28737380,0
2022-08-28 06:47:59,1661644020000,20048.64000000,20059.24000000,20041.02000000,20042.43000000,73.50496000,1661644079999,1473724.93558440,2370,30.89677000,619520.20473420,0
2022-08-28 06:48:59,1661644080000,20043.63000000,20047.54000000,20037.78000000,20044.99000000,44.08172000,1661644139999,883536.72494110,1780,18.29208000,366647.50426320,0
2022-08-28 06:49:59,1661644140000,20044.99000000,20053.96000000,20040.97000000,20045.68000000,43.65591000,1661644199999,875228.23699590,1969,23.42429000,469628.90206300,0
2022-08-28 06:50:59,1661644200000,20046.54000000,20059.66000000,20044.94000000,20054.17000000,52.75799000,1661644259999,1057887.86237650,2101,28.51196000,571735.32960510,0
2022-08-28 06:51:59,1661644260000,20055.31000000,20059.13000000,20045.00000000,20056.56000000,43.48058000,1661644319999,871840.76522030,2159,20.26096000,406264.33570770,0
2022-08-28 06:52:59,1661644320000,20056.56000000,20057.77000000,20042.29000000,20044.40000000,46.35982000,1661644379999,929449.53406240,1812,19.60967000,393151.06759310,0
2022-08-28 06:53:59,1661644380000,20044.40000000,20057.30000000,20040.00000000,20054.53000000,41.95900000,1661644439999,841232.66304520,1914,25.03040000,501834.62456880,0
2022-08-28 06:54:59,1661644440000,20054.53000000,20056.31000000,20049.11000000,20052.98000000,25.42177000,1661644499999,509769.03251550,1433,12.08260000,242290.50683340,0
2022-08-28 06:55:59,1661644500000,20052.98000000,20054.23000000,20032.16000000,20036.00000000,70.74003000,1661644559999,1417838.91558310,2571,26.23063000,525794.97728540,0
2022-08-28 06:56:59,1661644560000,20037.22000000,20039.28000000,20024.00000000,20028.16000000,60.59895000,1661644619999,1213858.78370360,2569,29.34340000,587787.78051210,0
2022-08-28 06:57:59,1661644620000,20029.87000000,20035.89000000,20022.77000000,20027.19000000,90.30371000,1661644679999,1808773.97203410,3147,49.57520000,993034.16406660,0
2022-08-28 06:58:59,1661644680000,20028.92000000,20038.18000000,20026.22000000,20033.13000000,36.56696000,1661644739999,732548.58292550,1571,23.72018000,475196.83984150,0
2022-08-28 06:59:59,1661644740000,20033.13000000,20042.95000000,20028.14000000,20037.60000000,65.58708000,1661644799999,1314072.25722300,2007,40.63657000,814214.18060240,0
2022-08-28 07:00:59,1661644800000,20037.60000000,20046.51000000,20015.20000000,20019.43000000,199.98156000,1661644859999,4005949.96757360,5015,97.49369000,1953119.66975460,0
2022-08-28 07:01:59,1661644860000,20019.43000000,20028.00000000,20011.46000000,20013.28000000,97.93624000,1661644919999,1960506.19656600,3378,42.35805000,847968.95280440,0
2022-08-28 07:02:59,1661644920000,20013.28000000,20023.28000000,19999.16000000,20004.25000000,122.86072000,1661644979999,2458529.84313330,3597,52.20288000,1044787.97805520,0
2022-08-28 07:03:59,1661644980000,20004.27000000,20010.53000000,19991.22000000,20002.44000000,138.92450000,1661645039999,2778557.56807160,4832,72.12775000,1442659.06736620,0
2022-08-28 07:04:59,1661645040000,20003.74000000,20011.66000000,19998.53000000,20009.18000000,70.74974000,1661645099999,1415356.32723870,3120,35.56269000,711464.63463190,0
2022-08-28 07:05:59,1661645100000,20010.86000000,20013.66000000,20000.00000000,20000.23000000,68.67569000,1661645159999,1373983.51139750,3023,33.39897000,668235.40587440,0
2022-08-28 07:06:59,1661645160000,20000.23000000,20006.83000000,19995.01000000,20000.04000000,68.14283000,1661645219999,1362908.86931510,2824,28.26818000,565382.22249570,0
2022-08-28 07:07:59,1661645220000,20000.04000000,20012.95000000,19999.28000000,20007.24000000,70.16604000,1661645279999,1403801.85151780,2843,36.85586000,737376.22825540,0
2022-08-28 07:08:59,1661645280000,20007.24000000,20031.22000000,20005.91000000,20028.36000000,75.96417000,1661645339999,1520654.85851830,3026,43.96820000,880168.86224810,0
2022-08-28 07:09:59,1661645340000,20027.72000000,20031.75000000,20021.22000000,20026.02000000,53.26689000,1661645399999,1066729.31037790,2709,24.03652000,481373.99926870,0
2022-08-28 07:10:59,1661645400000,20025.09000000,20041.94000000,20022.27000000,20040.11000000,71.58782000,1661645459999,1434135.56836420,3099,45.06696000,902881.14364920,0
2022-08-28 07:11:59,1661645460000,20040.11000000,20041.43000000,20028.97000000,20034.10000000,53.78755000,1661645519999,1077601.88042070,2464,26.07163000,522331.90137160,0
2022-08-28 07:12:59,1661645520000,20034.83000000,20038.00000000,20025.00000000,20027.47000000,41.54479000,1661645579999,832118.96506840,2235,15.12118000,302876.33718900,0
2022-08-28 07:13:59,1661645580000,20026.55000000,20030.99000000,20023.00000000,20024.96000000,37.09033000,1661645639999,742827.73978550,2032,17.70091000,354509.24246030,0
2022-08-28 07:14:59,1661645640000,20023.75000000,20038.00000000,20022.69000000,20031.33000000,74.25518000,1661645699999,1487422.84714480,2898,41.02603000,821800.86335510,0
2022-08-28 07:15:59,1661645700000,20031.33000000,20044.16000000,20030.39000000,20036.97000000,73.96739000,1661645759999,1482176.82252460,2853,44.02858000,882271.24165570,0
2022-08-28 07:16:59,1661645760000,20038.05000000,20044.65000000,20036.39000000,20044.03000000,40.99131000,1661645819999,821509.43658780,2122,20.28272000,406498.01126100,0
2022-08-28 07:17:59,1661645820000,20044.02000000,20044.02000000,20030.41000000,20041.75000000,67.64971000,1661645879999,1355535.03882560,2799,28.68849000,574888.36012820,0
2022-08-28 07:18:59,1661645880000,20042.59000000,20044.39000000,20036.18000000,20041.45000000,38.54242000,1661645939999,772416.39301870,2109,22.69353000,454799.90964720,0
2022-08-28 07:19:59,1661645940000,20041.45000000,20051.22000000,20017.49000000,20023.94000000,152.98634000,1661645999999,3064713.29913470,4681,75.00239000,1502532.07773010,0
2022-08-28 07:20:59,1661646000000,20024.50000000,20027.08000000,19996.00000000,20001.42000000,131.86384000,1661646059999,2638334.10316260,4668,44.56264000,891603.13751590,0
2022-08-28 07:21:59,1661646060000,20001.42000000,20002.42000000,19976.43000000,19988.06000000,158.16878000,1661646119999,3161654.39698270,5468,68.98440000,1378983.44352830,0
2022-08-28 07:22:59,1661646120000,19988.06000000,19996.75000000,19972.66000000,19972.79000000,91.39320000,1661646179999,1826310.28034510,3867,38.27176000,764834.51326600,0
2022-08-28 07:23:59,1661646180000,19972.79000000,19986.19000000,19971.58000000,19978.79000000,65.30976000,1661646239999,1304767.56930950,3486,38.64821000,772128.80802320,0
2022-08-28 07:24:59,1661646240000,19979.73000000,19986.88000000,19973.70000000,19977.54000000,62.81679000,1661646299999,1255136.31180220,2803,31.44433000,628289.18349550,0
2022-08-28 07:25:59,1661646300000,19978.97000000,19981.05000000,19965.01000000,19975.91000000,109.35974000,1661646359999,2184295.14032060,3985,49.24060000,983560.37943100,0
2022-08-28 07:26:59,1661646360000,19977.11000000,19977.19000000,19950.00000000,19964.25000000,275.16772000,1661646419999,5493635.63741370,5630,89.48431000,1786355.34418540,0
2022-08-28 07:27:59,1661646420000,19964.25000000,19986.65000000,19964.25000000,19974.04000000,124.48293000,1661646479999,2486685.00819440,4262,66.20954000,1322630.60026090,0
2022-08-28 07:28:59,1661646480000,19975.02000000,19990.56000000,19973.41000000,19983.51000000,74.30413000,1661646539999,1484718.44230590,2912,40.99108000,819084.21338020,0
2022-08-28 07:29:59,1661646540000,19982.86000000,19991.99000000,19978.17000000,19980.78000000,64.47883000,1661646599999,1288576.75703080,2784,32.19806000,643477.93935710,0
2022-08-28 07:30:59,1661646600000,19980.78000000,19988.99000000,19968.29000000,19973.81000000,99.83323000,1661646659999,1994416.00504410,3610,46.99823000,938960.81535410,0
